Reporting Area,MMWR Year,MMWR Week,"Lyme disease, Current week","Lyme disease, Current week, flag","Lyme disease, Previous 52 weeks Med","Lyme disease, Previous 52 weeks Med, flag","Lyme disease, Previous 52 weeks Max","Lyme disease, Previous 52 weeks Max, flag","Lyme disease, Cum 2014","Lyme disease, Cum 2014, flag","Lyme disease, Cum 2013","Lyme disease, Cum 2013, flag","Malaria, Current week","Malaria, Current week, flag","Malaria, Previous 52 weeks Med","Malaria, Previous 52 weeks Med, flag","Malaria, Previous 52 weeks Max","Malaria, Previous 52 weeks Max, flag","Malaria, Cum 2014","Malaria, Cum 2014, flag","Malaria, Cum 2013","Malaria, Cum 2013, flag","Meningococcal disease, invasive†, All serogroups, Current week","Meningococcal disease, invasive†, All serogroups, Current week, flag","Meningococcal disease, invasive†, All serogroups, Previous 52 weeks Med","Meningococcal disease, invasive†, All serogroups, Previous 52 weeks Med, flag","Meningococcal disease, invasive†, All serogroups, Previous 52 weeks Max","Meningococcal disease, invasive†, All serogroups, Previous 52 weeks Max, flag","Meningococcal disease, invasive†, All serogroups, Cum 2014","Meningococcal disease, invasive†, All serogroups, Cum 2014, flag","Meningococcal disease, invasive†, All serogroups, Cum 2013","Meningococcal disease, invasive†, All serogroups, Cum 2013, flag",Location 1,Location 2
CALIFORNIA,2014,9,,-,1,,7,,,-,10,,,-,3,,8,,19,,14,,2,,2,,6,,12,,37,,"CALIFORNIA
(37.638640488000476, -120.99999889499969)",
HAWAII,2014,9,,N,0,,0,,,N,,N,,-,0,,0,,,-,1,,,-,0,,1,,1,,,-,"HAWAII
(21.30485166200043, -157.85774691599974)",
OREGON,2014,9,,-,1,,3,,3,,4,,,-,0,,1,,,-,,-,,-,0,,3,,8,,3,,"OREGON
(44.567446178000466, -120.15502977999972)",
WASHINGTON,2014,9,,-,0,,4,,,-,,-,,-,0,,3,,5,,2,,2,,0,,5,,5,,3,,"WASHINGTON
(47.522287905000496, -120.47002746299972)",
AMER. SAMOA,2014,9,,N,,-,,-,,N,,N,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"AMER. SAMOA
(39.52368635500045, -99.11415045099966)",
C.N.M.I.,2014,9,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
(39.52368635500045, -99.11415045099966)",
GUAM,2014,9,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.355173397000442, 144.70297250000056)",
PUERTO RICO,2014,9,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,,-,0,,1,,1,,,-,"PUERTO RICO
(26.649497232000442, -98.34556876399967)",
VIRGIN ISL.,2014,9,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
(39.52368635500045, -99.11415045099966)",
UNITED STATES,2014,10,45,,411,,2273,,785,,1968,,8,,27,,52,,170,,185,,6,,9,,22,,93,,149,,,
NEW ENGLAND,2014,10,,-,130,,924,,133,,544,,,-,2,,8,,10,,9,,,-,0,,3,,2,,6,,,
CONNECTICUT,2014,10,,-,31,,251,,14,,215,,,-,0,,0,,,-,,-,,-,0,,1,,,-,1,,"CONNECTICUT
(41.56266394200048, -72.64983753699966)",
MAINE,2014,10,,-,15,,99,,31,,36,,,-,0,,2,,2,,,-,,-,0,,1,,,-,1,,"MAINE
(45.254228663000504, -68.98502952999962)",
MASSACHUSETTS,2014,10,,-,49,,477,,53,,217,,,-,1,,4,,6,,7,,,-,0,,3,,2,,2,,"MASSACHUSETTS
(42.27687306500047, -72.08268985899963)",
NEW HAMPSHIRE,2014,10,,-,5,,91,,,-,50,,,-,0,,2,,1,,2,,,-,0,,1,,,-,1,,"NEW HAMPSHIRE
(43.6559537330005, -71.50035726399966)",
RHODE ISLAND,2014,10,,-,9,,54,,6,,4,,,-,0,,8,,1,,,-,,-,0,,0,,,-,1,,"RHODE ISLAND
(41.70828281900049, -71.52246918099962)",
VERMONT,2014,10,,-,8,,97,,29,,22,,,-,0,,3,,,-,,-,,-,0,,1,,,-,,-,"VERMONT
(43.62538292400046, -72.51763944499965)",
MID. ATLANTIC,2014,10,35,,191,,1006,,503,,995,,1,,8,,21,,49,,35,,,-,1,,7,,4,,14,,,
NEW JERSEY,2014,10,,-,41,,224,,68,,412,,,-,1,,5,,3,,7,,,-,0,,2,,1,,3,,"NEW JERSEY
(40.1305700530005, -74.27368565099965)",
NEW YORK,2014,10,11,,46,,257,,96,,77,,,-,1,,5,,8,,10,,,-,0,,3,,1,,6,,"NEW YORK
(42.82700023900048, -75.54396639699968)",
NEW YORK CITY,2014,10,4,,3,,40,,14,,8,,1,,4,,13,,29,,14,,,-,0,,2,,1,,3,,"NEW YORK CITY
(40.71426755700048, -74.00596858999967)",
PENNSYLVANIA,2014,10,20,,79,,542,,325,,498,,,-,1,,5,,9,,4,,,-,0,,3,,1,,2,,"PENNSYLVANIA
(40.79373106100047, -77.86069775999965)",
E.N. CENTRAL,2014,10,2,,19,,230,,28,,62,,,-,3,,8,,14,,19,,,-,1,,4,,5,,16,,,
ILLINOIS,2014,10,,-,1,,30,,1,,6,,,-,1,,5,,2,,7,,,-,0,,2,,,-,3,,"ILLINOIS
(40.48501278700047, -88.99770813999965)",
INDIANA,2014,10,,-,0,,13,,,-,2,,,-,0,,2,,2,,3,,,-,0,,1,,,-,4,,"INDIANA
(39.76691364600049, -86.14995579899966)",
MICHIGAN,2014,10,,-,2,,15,,6,,4,,,-,0,,2,,4,,3,,,-,0,,1,,1,,2,,"MICHIGAN
(44.66131575600048, -84.71438724399968)",
OHIO,2014,10,2,,1,,7,,3,,7,,,-,0,,3,,6,,5,,,-,0,,2,,3,,1,,"OHIO
(40.06021029700048, -82.40425685299965)",
WISCONSIN,2014,10,,-,15,,191,,18,,43,,,-,0,,3,,,-,1,,,-,0,,1,,1,,6,,"WISCONSIN
(44.3931903350005, -89.81636715299965)",
W.N. CENTRAL,2014,10,,-,3,,31,,3,,4,,1,,0,,3,,11,,9,,,-,0,,3,,5,,12,,,
IOWA,2014,10,,-,2,,27,,1,,1,,,-,0,,2,,3,,3,,,-,0,,1,,1,,,-,"IOWA
(42.469404401000475, -93.81648936699969)",
KANSAS,2014,10,,-,0,,4,,,-,2,,,-,0,,1,,2,,2,,,-,0,,1,,1,,1,,"KANSAS
(38.34774033400049, -98.20077655499966)",
MINNESOTA,2014,10,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,2,,,-,3,,"MINNESOTA
(46.35564867700049, -94.79419697699967)",
MISSOURI,2014,10,,-,0,,3,,,-,1,,1,,0,,1,,4,,1,,,-,0,,2,,2,,3,,"MISSOURI
(38.63579372300046, -92.56629737199967)",
NEBRASKA,2014,10,,-,0,,3,,2,,,-,,-,0,,2,,1,,1,,,-,0,,1,,,-,2,,"NEBRASKA
(41.64104043900045, -99.36571864599966)",
NORTH DAKOTA,2014,10,,-,0,,5,,,-,,-,,-,0,,1,,1,,1,,,-,0,,1,,,-,,-,"NORTH DAKOTA
(47.47531738700047, -100.11842599699969)",
SOUTH DAKOTA,2014,10,,-,0,,1,,,-,,-,,-,0,,3,,,-,1,,,-,0,,1,,1,,3,,"SOUTH DAKOTA
(44.35313342000046, -100.37352811899967)",
S. ATLANTIC,2014,10,8,,48,,293,,109,,328,,6,,6,,17,,48,,63,,3,,1,,5,,30,,39,,,
DELAWARE,2014,10,1,,6,,23,,26,,60,,,-,0,,2,,1,,,-,,-,0,,1,,1,,,-,"DELAWARE
(39.00883351400046, -75.57773943699965)",
DIST. OF COL.,2014,10,,N,0,,0,,,N,,N,,-,0,,2,,,-,4,,,-,0,,1,,,-,1,,"DIST. OF COL.
(39.52368635500045, -99.11415045099966)",
FLORIDA,2014,10,2,,2,,14,,12,,14,,,-,1,,3,,7,,16,,1,,1,,3,,12,,20,,"FLORIDA
(28.932042899000464, -81.92895558499964)",
GEORGIA,2014,10,,-,0,,2,,,-,7,,,-,1,,5,,7,,10,,,-,0,,2,,3,,4,,"GEORGIA
(32.83968004200045, -83.62757601199968)",
MARYLAND,2014,10,1,,18,,76,,45,,198,,6,,2,,10,,24,,27,,,-,0,,1,,2,,2,,"MARYLAND
(39.2905806980005, -76.60925970899967)",
NORTH CAROLINA,2014,10,3,,0,,32,,6,,7,,,-,0,,6,,1,,,-,2,,0,,2,,9,,6,,"NORTH CAROLINA
(35.46622388600048, -79.15924924699965)",
SOUTH CAROLINA,2014,10,,-,0,,2,,,-,,-,,-,0,,2,,1,,,-,,-,0,,1,,1,,1,,"SOUTH CAROLINA
(33.99882060100049, -81.04536765699964)",
VIRGINIA,2014,10,1,,17,,256,,18,,34,,,-,1,,6,,7,,6,,,-,0,,1,,2,,3,,"VIRGINIA
(37.54268075100049, -78.45788924199968)",
WEST VIRGINIA,2014,10,,-,1,,19,,2,,8,,,-,0,,1,,,-,,-,,-,0,,0,,,-,2,,"WEST VIRGINIA
(38.665511497000466, -80.71263935099967)",
E.S. CENTRAL,2014,10,,-,1,,9,,4,,8,,,-,1,,4,,6,,7,,1,,0,,2,,3,,4,,,
ALABAMA,2014,10,,-,0,,3,,,-,3,,,-,0,,1,,,-,1,,,-,0,,1,,,-,,-,"ALABAMA
(32.84057327200048, -86.63185803899967)",
KENTUCKY,2014,10,,-,0,,9,,2,,4,,,-,0,,1,,2,,3,,,-,0,,1,,1,,1,,"KENTUCKY
(37.645973909000475, -84.77496612599964)",
MISSISSIPPI,2014,10,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,2,,"MISSISSIPPI
(32.74551123200047, -89.53802764499966)",
TENNESSEE,2014,10,,-,0,,3,,2,,1,,,-,0,,3,,4,,3,,1,,0,,1,,2,,1,,"TENNESSEE
(35.680943063000484, -85.77448642199965)",
W.S. CENTRAL,2014,10,,-,1,,9,,,-,3,,,-,1,,13,,5,,10,,,-,1,,3,,8,,5,,,
ARKANSAS,2014,10,,-,0,,0,,,-,,-,,-,0,,1,,2,,,-,,-,0,,1,,,-,1,,"ARKANSAS
(34.748651751000466, -92.27448794899965)",
LOUISIANA,2014,10,,-,0,,0,,,-,,-,,-,0,,1,,,-,1,,,-,0,,1,,1,,,-,"LOUISIANA
(31.312662564000448, -92.44567554599968)",
OKLAHOMA,2014,10,,-,0,,1,,,-,,-,,-,0,,3,,,-,,-,,-,0,,2,,2,,,-,"OKLAHOMA
(35.472034350000456, -97.52106845499969)",
TEXAS,2014,10,,-,1,,9,,,-,3,,,-,1,,13,,3,,9,,,-,0,,3,,5,,4,,"TEXAS
(31.827243635000457, -99.4267664729997)",
MOUNTAIN,2014,10,,-,2,,9,,1,,7,,,-,1,,7,,2,,14,,,-,1,,4,,7,,8,,,
ARIZONA,2014,10,,-,0,,3,,,-,2,,,-,0,,3,,2,,6,,,-,0,,3,,3,,3,,"ARIZONA
(34.865973091000455, -111.76380949799972)",
COLORADO,2014,10,,-,0,,0,,,-,,-,,-,0,,3,,,-,5,,,-,0,,1,,1,,2,,"COLORADO
(38.84384047000049, -106.13360888799969)",
IDAHO,2014,10,,-,0,,2,,1,,4,,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"IDAHO
(43.682630058000484, -114.3637261449997)",
MONTANA,2014,10,,-,0,,3,,,-,1,,,-,0,,0,,,-,,-,,-,0,,1,,1,,,-,"MONTANA
(47.066526051000494, -109.42441687999968)",
NEVADA,2014,10,,-,0,,2,,,-,,-,,-,0,,1,,,-,3,,,-,0,,1,,1,,1,,"NEVADA
(39.49324126500045, -117.07183978499972)",
NEW MEXICO,2014,10,,-,0,,3,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"NEW MEXICO
(34.52088247800049, -106.24057768899968)",
UTAH,2014,10,,-,0,,3,,,-,,-,,-,0,,2,,,-,,-,,-,0,,2,,1,,1,,"UTAH
(39.36070374600047, -111.5871285339997)",
WYOMING,2014,10,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,,-,1,,"WYOMING
(43.23554147100049, -108.10982744299969)",
PACIFIC,2014,10,,-,3,,11,,4,,17,,,-,3,,10,,25,,19,,2,,2,,7,,29,,45,,,
ALASKA,2014,10,,-,0,,3,,1,,1,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"ALASKA
(64.84507923900048, -147.72205669099972)",
CALIFORNIA,2014,10,,-,1,,8,,,-,11,,,-,3,,9,,20,,14,,1,,2,,6,,14,,39,,"CALIFORNIA
(37.638640488000476, -120.99999889499969)",
HAWAII,2014,10,,N,0,,0,,,N,,N,,-,0,,0,,,-,1,,,-,0,,1,,1,,,-,"HAWAII
(21.30485166200043, -157.85774691599974)",
OREGON,2014,10,,-,1,,3,,3,,5,,,-,0,,1,,,-,,-,1,,0,,3,,9,,3,,"OREGON
(44.567446178000466, -120.15502977999972)",
WASHINGTON,2014,10,,-,0,,4,,,-,,-,,-,0,,3,,5,,4,,,-,0,,5,,5,,3,,"WASHINGTON
(47.522287905000496, -120.47002746299972)",
AMER. SAMOA,2014,10,,N,,-,,-,,N,,N,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"AMER. SAMOA
(39.52368635500045, -99.11415045099966)",
C.N.M.I.,2014,10,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
(39.52368635500045, -99.11415045099966)",
GUAM,2014,10,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.355173397000442, 144.70297250000056)",
PUERTO RICO,2014,10,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,,-,0,,1,,1,,,-,"PUERTO RICO
(26.649497232000442, -98.34556876399967)",
VIRGIN ISL.,2014,10,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
(39.52368635500045, -99.11415045099966)",
UNITED STATES,2014,11,25,,408,,2280,,901,,2149,,14,,27,,52,,194,,197,,2,,9,,22,,99,,163,,,
NEW ENGLAND,2014,11,,-,130,,927,,149,,603,,,-,2,,8,,10,,9,,,-,0,,3,,2,,7,,,
CONNECTICUT,2014,11,,-,31,,251,,14,,237,,,-,0,,2,,,-,,-,,-,0,,1,,,-,2,,"CONNECTICUT
(41.56266394200048, -72.64983753699966)",
MAINE,2014,11,,-,15,,99,,34,,41,,,-,0,,2,,2,,,-,,-,0,,1,,,-,1,,"MAINE
(45.254228663000504, -68.98502952999962)",
MASSACHUSETTS,2014,11,,-,53,,480,,66,,240,,,-,1,,4,,6,,7,,,-,0,,3,,2,,2,,"MASSACHUSETTS
(42.27687306500047, -72.08268985899963)",
NEW HAMPSHIRE,2014,11,,-,5,,91,,,-,56,,,-,0,,2,,1,,2,,,-,0,,1,,,-,1,,"NEW HAMPSHIRE
(43.6559537330005, -71.50035726399966)",
RHODE ISLAND,2014,11,,-,9,,54,,6,,5,,,-,0,,8,,1,,,-,,-,0,,0,,,-,1,,"RHODE ISLAND
(41.70828281900049, -71.52246918099962)",
VERMONT,2014,11,,-,8,,97,,29,,24,,,-,0,,3,,,-,,-,,-,0,,1,,,-,,-,"VERMONT
(43.62538292400046, -72.51763944499965)",
MID. ATLANTIC,2014,11,21,,189,,1006,,586,,1073,,2,,8,,21,,52,,39,,,-,1,,7,,4,,14,,,
NEW JERSEY,2014,11,,-,41,,224,,96,,443,,,-,1,,5,,4,,9,,,-,0,,2,,1,,3,,"NEW JERSEY
(40.1305700530005, -74.27368565099965)",
NEW YORK,2014,11,9,,43,,257,,107,,83,,,-,1,,5,,8,,10,,,-,0,,3,,1,,6,,"NEW YORK
(42.82700023900048, -75.54396639699968)",
NEW YORK CITY,2014,11,3,,3,,40,,17,,11,,2,,4,,13,,31,,15,,,-,0,,2,,1,,3,,"NEW YORK CITY
(40.71426755700048, -74.00596858999967)",
PENNSYLVANIA,2014,11,9,,80,,542,,366,,536,,,-,1,,5,,9,,5,,,-,0,,3,,1,,2,,"PENNSYLVANIA
(40.79373106100047, -77.86069775999965)",
E.N. CENTRAL,2014,11,,-,20,,231,,31,,64,,1,,3,,8,,15,,22,,1,,1,,4,,7,,20,,,
ILLINOIS,2014,11,,-,1,,30,,1,,6,,,-,1,,5,,2,,7,,,-,0,,2,,1,,3,,"ILLINOIS
(40.48501278700047, -88.99770813999965)",
INDIANA,2014,11,,-,0,,13,,,-,2,,,-,0,,2,,2,,3,,,-,0,,1,,,-,5,,"INDIANA
(39.76691364600049, -86.14995579899966)",
MICHIGAN,2014,11,,-,2,,15,,6,,4,,,-,0,,2,,4,,5,,,-,0,,1,,1,,2,,"MICHIGAN
(44.66131575600048, -84.71438724399968)",
OHIO,2014,11,,-,1,,7,,3,,7,,1,,0,,3,,7,,6,,1,,0,,2,,4,,3,,"OHIO
(40.06021029700048, -82.40425685299965)",
WISCONSIN,2014,11,,-,15,,192,,21,,45,,,-,0,,3,,,-,1,,,-,0,,1,,1,,7,,"WISCONSIN
(44.3931903350005, -89.81636715299965)",
W.N. CENTRAL,2014,11,,-,3,,31,,3,,4,,1,,0,,3,,13,,9,,,-,0,,3,,5,,12,,,
IOWA,2014,11,,-,2,,27,,1,,1,,,-,0,,2,,4,,3,,,-,0,,1,,1,,,-,"IOWA
(42.469404401000475, -93.81648936699969)",
KANSAS,2014,11,,-,0,,4,,,-,2,,1,,0,,1,,3,,2,,,-,0,,1,,1,,1,,"KANSAS
(38.34774033400049, -98.20077655499966)",
MINNESOTA,2014,11,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,2,,,-,3,,"MINNESOTA
(46.35564867700049, -94.79419697699967)",
MISSOURI,2014,11,,-,0,,3,,,-,1,,,-,0,,1,,4,,1,,,-,0,,2,,2,,3,,"MISSOURI
(38.63579372300046, -92.56629737199967)",
NEBRASKA,2014,11,,-,0,,3,,2,,,-,,-,0,,2,,1,,1,,,-,0,,1,,,-,2,,"NEBRASKA
(41.64104043900045, -99.36571864599966)",
NORTH DAKOTA,2014,11,,-,0,,5,,,-,,-,,-,0,,1,,1,,1,,,-,0,,1,,,-,,-,"NORTH DAKOTA
(47.47531738700047, -100.11842599699969)",
SOUTH DAKOTA,2014,11,,-,0,,1,,,-,,-,,-,0,,3,,,-,1,,,-,0,,1,,1,,3,,"SOUTH DAKOTA
(44.35313342000046, -100.37352811899967)",
S. ATLANTIC,2014,11,4,,48,,295,,122,,366,,6,,6,,17,,56,,64,,1,,1,,5,,31,,42,,,
DELAWARE,2014,11,,-,6,,23,,27,,63,,,-,0,,2,,1,,,-,,-,0,,1,,1,,,-,"DELAWARE
(39.00883351400046, -75.57773943699965)",
DIST. OF COL.,2014,11,,N,0,,0,,,N,,N,,-,0,,2,,,-,4,,,-,0,,1,,,-,1,,"DIST. OF COL.
(39.52368635500045, -99.11415045099966)",
FLORIDA,2014,11,,-,2,,14,,12,,14,,,-,1,,3,,7,,16,,1,,1,,3,,13,,23,,"FLORIDA
(28.932042899000464, -81.92895558499964)",
GEORGIA,2014,11,,-,0,,2,,,-,7,,,-,1,,5,,7,,10,,,-,0,,2,,3,,4,,"GEORGIA
(32.83968004200045, -83.62757601199968)",
MARYLAND,2014,11,1,,18,,76,,49,,215,,4,,2,,10,,29,,27,,,-,0,,1,,2,,2,,"MARYLAND
(39.2905806980005, -76.60925970899967)",
NORTH CAROLINA,2014,11,,-,0,,32,,6,,8,,,-,0,,6,,1,,,-,,-,0,,2,,9,,6,,"NORTH CAROLINA
(35.46622388600048, -79.15924924699965)",
SOUTH CAROLINA,2014,11,,-,0,,2,,,-,,-,,-,0,,2,,2,,,-,,-,0,,1,,1,,1,,"SOUTH CAROLINA
(33.99882060100049, -81.04536765699964)",
VIRGINIA,2014,11,2,,17,,258,,22,,51,,2,,1,,6,,9,,7,,,-,0,,1,,2,,3,,"VIRGINIA
(37.54268075100049, -78.45788924199968)",
WEST VIRGINIA,2014,11,1,,1,,19,,6,,8,,,-,0,,1,,,-,,-,,-,0,,0,,,-,2,,"WEST VIRGINIA
(38.665511497000466, -80.71263935099967)",
E.S. CENTRAL,2014,11,,-,1,,9,,4,,8,,,-,1,,4,,6,,7,,,-,0,,2,,3,,4,,,
ALABAMA,2014,11,,-,0,,3,,,-,3,,,-,0,,1,,,-,1,,,-,0,,1,,,-,,-,"ALABAMA
(32.84057327200048, -86.63185803899967)",
KENTUCKY,2014,11,,-,0,,9,,2,,4,,,-,0,,1,,2,,3,,,-,0,,1,,1,,1,,"KENTUCKY
(37.645973909000475, -84.77496612599964)",
MISSISSIPPI,2014,11,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,2,,"MISSISSIPPI
(32.74551123200047, -89.53802764499966)",
TENNESSEE,2014,11,,-,0,,3,,2,,1,,,-,0,,3,,4,,3,,,-,0,,1,,2,,1,,"TENNESSEE
(35.680943063000484, -85.77448642199965)",
W.S. CENTRAL,2014,11,,-,1,,12,,,-,6,,,-,1,,17,,7,,12,,,-,1,,3,,8,,7,,,
ARKANSAS,2014,11,,-,0,,0,,,-,,-,,-,0,,1,,2,,,-,,-,0,,1,,,-,1,,"ARKANSAS
(34.748651751000466, -92.27448794899965)",
LOUISIANA,2014,11,,-,0,,0,,,-,,-,,-,0,,1,,,-,1,,,-,0,,1,,1,,,-,"LOUISIANA
(31.312662564000448, -92.44567554599968)",
OKLAHOMA,2014,11,,-,0,,1,,,-,,-,,-,0,,3,,,-,,-,,-,0,,2,,2,,,-,"OKLAHOMA
(35.472034350000456, -97.52106845499969)",
TEXAS,2014,11,,-,1,,12,,,-,6,,,-,1,,17,,5,,11,,,-,0,,3,,5,,6,,"TEXAS
(31.827243635000457, -99.4267664729997)",
MOUNTAIN,2014,11,,-,2,,9,,1,,8,,,-,1,,7,,4,,14,,,-,1,,4,,7,,9,,,
ARIZONA,2014,11,,-,0,,3,,,-,2,,,-,0,,3,,4,,6,,,-,0,,3,,3,,4,,"ARIZONA
(34.865973091000455, -111.76380949799972)",
COLORADO,2014,11,,-,0,,0,,,-,,-,,-,0,,3,,,-,5,,,-,0,,1,,1,,2,,"COLORADO
(38.84384047000049, -106.13360888799969)",
IDAHO,2014,11,,-,0,,2,,1,,5,,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"IDAHO
(43.682630058000484, -114.3637261449997)",
MONTANA,2014,11,,-,0,,3,,,-,1,,,-,0,,0,,,-,,-,,-,0,,1,,1,,,-,"MONTANA
(47.066526051000494, -109.42441687999968)",
NEVADA,2014,11,,-,0,,1,,,-,,-,,-,0,,1,,,-,3,,,-,0,,1,,1,,1,,"NEVADA
(39.49324126500045, -117.07183978499972)",
NEW MEXICO,2014,11,,-,0,,3,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"NEW MEXICO
(34.52088247800049, -106.24057768899968)",
UTAH,2014,11,,-,0,,3,,,-,,-,,-,0,,2,,,-,,-,,-,0,,2,,1,,1,,"UTAH
(39.36070374600047, -111.5871285339997)",
WYOMING,2014,11,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,,-,1,,"WYOMING
(43.23554147100049, -108.10982744299969)",
PACIFIC,2014,11,,-,3,,11,,5,,17,,4,,3,,10,,31,,21,,,-,2,,7,,32,,48,,,
ALASKA,2014,11,,-,0,,3,,1,,1,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"ALASKA
(64.84507923900048, -147.72205669099972)",
CALIFORNIA,2014,11,,-,1,,8,,,-,11,,3,,3,,9,,24,,16,,,-,2,,6,,16,,42,,"CALIFORNIA
(37.638640488000476, -120.99999889499969)",
HAWAII,2014,11,,N,0,,0,,,N,,N,,-,0,,0,,,-,1,,,-,0,,1,,1,,,-,"HAWAII
(21.30485166200043, -157.85774691599974)",
OREGON,2014,11,,-,1,,3,,4,,5,,,-,0,,1,,,-,,-,,-,0,,3,,10,,3,,"OREGON
(44.567446178000466, -120.15502977999972)",
WASHINGTON,2014,11,,-,0,,4,,,-,,-,1,,0,,3,,7,,4,,,-,0,,5,,5,,3,,"WASHINGTON
(47.522287905000496, -120.47002746299972)",
AMER. SAMOA,2014,11,,N,,-,,-,,N,,N,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"AMER. SAMOA
(39.52368635500045, -99.11415045099966)",
C.N.M.I.,2014,11,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
(39.52368635500045, -99.11415045099966)",
GUAM,2014,11,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.355173397000442, 144.70297250000056)",
PUERTO RICO,2014,11,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,,-,0,,1,,1,,,-,"PUERTO RICO
(26.649497232000442, -98.34556876399967)",
VIRGIN ISL.,2014,11,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
(39.52368635500045, -99.11415045099966)",
UNITED STATES,2014,12,45,,412,,2285,,1028,,2323,,4,,25,,50,,189,,206,,1,,9,,22,,107,,177,,,
NEW ENGLAND,2014,12,2,,130,,930,,185,,651,,,-,2,,8,,11,,9,,,-,0,,3,,2,,7,,,
CONNECTICUT,2014,12,,-,31,,251,,14,,248,,,-,0,,2,,,-,,-,,-,0,,1,,,-,2,,"CONNECTICUT
(41.56266394200048, -72.64983753699966)",
MAINE,2014,12,,-,15,,100,,34,,46,,,-,0,,2,,2,,,-,,-,0,,1,,,-,1,,"MAINE
(45.254228663000504, -68.98502952999962)",
MASSACHUSETTS,2014,12,,-,56,,482,,93,,267,,,-,1,,4,,7,,7,,,-,0,,3,,2,,2,,"MASSACHUSETTS
(42.27687306500047, -72.08268985899963)",
NEW HAMPSHIRE,2014,12,,-,5,,91,,1,,59,,,-,0,,2,,1,,2,,,-,0,,1,,,-,1,,"NEW HAMPSHIRE
(43.6559537330005, -71.50035726399966)",
RHODE ISLAND,2014,12,2,,9,,54,,14,,5,,,-,0,,8,,1,,,-,,-,0,,0,,,-,1,,"RHODE ISLAND
(41.70828281900049, -71.52246918099962)",
VERMONT,2014,12,,-,8,,97,,29,,26,,,-,0,,3,,,-,,-,,-,0,,1,,,-,,-,"VERMONT
(43.62538292400046, -72.51763944499965)",
MID. ATLANTIC,2014,12,32,,189,,1007,,648,,1150,,1,,8,,21,,53,,47,,,-,1,,7,,5,,16,,,
NEW JERSEY,2014,12,,-,41,,224,,105,,481,,,-,1,,5,,4,,12,,,-,0,,2,,1,,4,,"NEW JERSEY
(40.1305700530005, -74.27368565099965)",
NEW YORK,2014,12,21,,43,,257,,128,,88,,1,,1,,5,,9,,12,,,-,0,,3,,1,,6,,"NEW YORK
(42.82700023900048, -75.54396639699968)",
NEW YORK CITY,2014,12,,-,3,,40,,17,,11,,,-,4,,13,,31,,17,,,-,0,,2,,1,,3,,"NEW YORK CITY
(40.71426755700048, -74.00596858999967)",
PENNSYLVANIA,2014,12,11,,80,,543,,398,,570,,,-,1,,5,,9,,6,,,-,0,,3,,2,,3,,"PENNSYLVANIA
(40.79373106100047, -77.86069775999965)",
E.N. CENTRAL,2014,12,,-,21,,235,,39,,67,,,-,3,,8,,15,,22,,,-,1,,4,,9,,21,,,
ILLINOIS,2014,12,,-,1,,30,,1,,6,,,-,1,,5,,2,,7,,,-,0,,2,,3,,3,,"ILLINOIS
(40.48501278700047, -88.99770813999965)",
INDIANA,2014,12,,-,0,,13,,,-,3,,,-,0,,2,,2,,3,,,-,0,,1,,,-,5,,"INDIANA
(39.76691364600049, -86.14995579899966)",
MICHIGAN,2014,12,,-,2,,15,,6,,4,,,-,0,,2,,4,,5,,,-,0,,1,,1,,2,,"MICHIGAN
(44.66131575600048, -84.71438724399968)",
